Start Time,North Left,North Straight,North Right,East Left,East Straight,East Right,South Left,South Straight,South Right,West Left,West Straight,West Right
12:30,0,95,45,12,66,15,0,85,7,32,60,9
12:45,0,89,50,14,89,14,0,118,22,31,59,14
13:00,0,108,49,10,69,18,0,107,14,37,55,9
13:15,1,80,41,23,80,14,0,107,12,42,56,9
13:30,0,95,51,13,92,16,0,90,16,32,50,11
13:45,0,95,51,16,77,10,0,90,16,36,60,12
14:00,1,82,50,4,87,14,0,109,13,37,52,9
14:15,0,91,49,10,89,16,0,122,18,34,57,6
14:30,0,96,47,13,65,18,0,110,13,34,45,6
14:45,0,91,36,14,85,16,0,86,7,31,56,12
15:00,1,109,56,15,94,19,0,132,12,22,32,8
15:15,0,114,66,9,102,9,0,127,19,18,39,6
15:30,0,121,67,20,96,10,0,93,16,29,40,2
15:45,0,126,66,15,92,14,0,111,16,22,44,3
16:00,0,145,56,19,97,17,0,133,9,26,39,5
16:15,0,154,61,15,91,13,0,126,11,28,36,2
16:30,0,133,85,17,99,7,0,120,11,23,33,7
16:45,0,151,95,11,103,12,0,144,18,29,34,4
17:00,0,136,65,14,113,7,0,128,19,35,39,3
17:15,0,156,65,12,111,5,0,134,25,26,37,9
17:30,0,145,62,16,97,8,0,136,15,32,32,3
17:45,0,143,59,17,99,15,0,147,18,27,41,3
18:00,0,141,65,14,96,20,0,125,12,24,42,5
18:15,1,130,63,9,91,18,0,118,29,24,37,10
18:30,0,118,48,21,73,18,0,122,17,49,63,11
18:45,0,115,40,19,86,17,0,121,24,30,71,5
19:00,0,103,52,12,66,22,0,122,19,36,64,11
19:15,0,90,37,11,72,20,0,105,15,32,58,8
19:30,0,92,36,15,78,23,0,87,18,37,55,5
19:45,0,106,47,12,77,22,1,111,20,40,60,5
20:00,0,112,44,10,75,25,0,107,15,40,54,5
20:15,0,94,31,16,73,26,0,90,11,40,56,4
20:30,0,78,38,15,71,19,1,92,12,38,55,7
20:45,2,89,24,9,82,21,0,70,13,41,53,6
21:00,1,86,47,14,80,14,0,85,25,27,41,9
21:15,0,87,49,12,63,25,1,73,15,25,54,12
21:30,2,69,35,18,60,18,0,69,14,36,53,11
21:45,0,67,34,13,65,34,0,69,9,33,45,10
22:00,0,58,28,10,64,20,0,42,8,23,37,3
22:15,0,53,28,15,63,19,0,51,18,29,41,3
22:30,1,30,29,15,60,24,0,43,6,18,35,4
22:45,3,38,30,8,45,27,0,41,5,20,28,4
23:00,0,48,14,11,57,18,0,33,9,19,18,4
23:15,0,33,22,17,58,20,0,17,5,17,28,3
23:30,0,31,17,10,35,14,0,32,10,4,19,2
23:45,1,30,8,10,45,16,0,16,4,16,21,3
00:00,1,17,15,9,41,16,0,31,5,12,12,3
00:15,4,11,13,7,22,10,0,7,4,5,9,1
00:30,1,23,10,7,23,12,1,4,5,11,8,2
00:45,0,14,6,2,14,10,0,10,2,6,5,0
01:00,0,12,9,4,22,9,0,11,4,7,7,0
01:15,0,10,3,3,22,13,0,9,0,4,8,0
01:30,2,5,7,3,18,8,0,4,0,6,6,0
01:45,0,7,2,4,13,5,0,7,3,2,8,1
02:00,1,11,6,5,7,3,0,8,1,7,8,0
02:15,0,3,6,3,14,5,1,8,4,2,0,0
02:30,0,7,2,2,5,4,0,3,0,3,6,1
02:45,0,3,5,1,7,3,0,9,3,1,4,0
03:00,0,2,6,3,7,3,0,6,2,1,4,0
03:15,1,2,5,2,10,4,0,4,1,5,4,0
03:30,0,4,6,2,9,4,0,3,0,1,2,0
03:45,0,7,2,1,3,1,0,5,0,4,6,0
04:00,0,4,3,1,5,4,0,3,0,1,2,0
04:15,0,3,5,3,3,3,0,7,0,3,3,0
04:30,0,9,5,1,8,1,0,9,1,6,1,1
04:45,0,5,5,2,5,2,0,13,2,1,2,0
05:00,0,4,3,4,6,1,0,11,1,4,2,1
05:15,0,6,11,6,10,2,0,19,2,6,5,1
05:30,1,14,14,0,15,5,0,19,4,9,8,2
05:45,0,22,15,4,18,6,0,37,4,9,7,3
06:00,0,28,24,5,19,3,0,40,5,10,14,1
06:15,0,29,25,4,37,5,0,41,7,24,19,1
06:30,0,55,29,10,52,5,1,69,5,23,23,4
06:45,0,55,28,6,32,4,0,75,9,24,48,6
07:00,0,51,35,4,39,9,0,111,9,31,62,4
07:15,0,83,39,8,56,5,0,127,13,44,71,3
07:30,0,83,43,15,47,8,1,141,28,65,97,3
07:45,0,105,29,8,56,6,0,170,19,37,135,4
08:00,0,81,39,8,49,6,0,154,22,55,110,12
08:15,0,108,37,13,52,7,0,157,16,45,112,10
08:30,0,118,46,5,64,4,0,135,16,41,100,7
08:45,0,120,40,12,44,11,0,136,16,46,87,6
09:00,0,70,44,18,58,14,0,92,14,38,75,4
09:15,0,99,45,10,63,11,0,100,14,35,55,7
09:30,0,73,42,17,60,10,0,103,9,32,69,10
09:45,0,81,49,11,71,14,0,86,11,36,57,7
10:00,0,96,51,14,69,11,0,105,10,36,50,10
10:15,0,80,55,11,80,9,0,104,12,36,51,10
10:30,1,89,38,14,69,18,0,92,13,26,53,14
10:45,0,94,44,13,62,15,0,99,12,34,56,6
11:00,0,87,47,16,80,12,0,101,17,40,72,9
11:15,1,89,39,6,73,15,0,89,15,34,65,10
11:30,0,107,47,16,73,22,0,110,20,39,47,13
11:45,0,96,57,16,76,16,0,115,15,46,57,16
12:00,0,92,47,20,73,24,0,97,9,38,63,10
12:15,0,105,43,12,85,16,0,128,14,38,60,8
